,orderno,sentence
1478,240-3,"By contrast, template matching extracts specific objects from images and prevents shape defects caused by image segmentation."
1479,240-4,"However, creating or editing templates is tedious and sometimes results in incomplete or inaccurate templates."
1480,240-5,"In this study, we combine OBIA and template matching techniques to address these problems and aim for accurate photovoltaic panel (PVP) extraction from very high resolution (VHR) aerial imagery."
1481,240-6,"The proposed method is based on the previously proposed region-line primitive association framework, in which complementary information between region (segment) and line (straight line) primitives is utilized to achieve a more powerful performance than routine OBIA."
1482,240-7,"Several novel concepts, including the mutual fitting ratio and best-fitting template based on region-line primitive association analyses, are proposed."
1483,240-8,Automatic template generation and matching method for PVP extraction from VHR imagery are designed for concept and model validation.
1484,240-9,Results show that the proposed method can successfully extract PVPs without any user-specified matching template or training sample.
1485,240-10,High user independency and accuracy are the main characteristics of the proposed method in comparison with routine OBIA and template matching techniques.
1486,241-1,"Vegetation in river floodplains has important functions for biodiversity, but can also have a negative influence on flood safety."
1487,241-2,Floodplain vegetation is becoming increasingly heterogeneous in space and time as a result of river restoration projects.
1488,241-3,"To document the spatio-temporal patterns of the floodplain vegetation, the need arises for efficient monitoring techniques."
1489,241-4,"Monitoring is commonly performed by mapping floodplains based on single-epoch remote sensing data, thereby not considering seasonal dynamics of vegetation."
1490,241-5,The rising availability of unmanned airborne vehicles (UAV) increases monitoring frequency potential.
1491,241-6,"Therefore, we aimed to evaluate the performance of multi-temporal high spatial-resolution imagery, collected with a UAV, to record the dynamics in floodplain vegetation height and greenness over a growing season."
1492,241-7,"Since the classification accuracy of current airborne surveys remains insufficient for low vegetation types, we focussed on seasonal variation of herbaceous and grassy vegetation with a height up to 3 m."
1493,241-8,"Field reference data on vegetation height were collected six times during one year in 28 field plots within a single floodplain along the Waal River, the main distributary of the Rhine River in the Netherlands."
1494,241-9,"Simultaneously with each field survey, we recorded UAV true colour and false-colour imagery from which normalized digital surface models (nDSMs) and a consumer-grade camera vegetation index (CGCVI) were calculated."
1495,241-10,"We observed that: (1) the accuracy of a UAV-derived digital terrain model (DTM) varies over the growing season and is most accurate during winter when the vegetation is dormant, (2) vegetation height can be determined from the nDSMs in leaf on conditions via linear regression (RSME = 0.17-0.33 m), (3) the multitemporal nDSMs yielded meaningful temporal profiles of greenness and vegetation height and (4) herbaceous vegetation shows hysteresis for greenness and vegetation height, but no clear hysteresis was observed for grassland vegetation."
1496,241-11,These results show the high potential of using UAV-borne sensors for increasing the classification accuracy of low floodplain vegetation within the framework of floodplain monitoring.
1497,242-1,Object-based image analysis (OBIA) has gained widespread popularity for creating maps from remotely sensed data.
1498,242-2,"Researchers routinely claim that OBIA procedures outperform pixel-based procedures; however, it is not immediately obvious how to evaluate the degree to which an OBIA map compares to reference information in a manner that accounts for the fact that the OBIA map consists of objects that vary in size and shape."
1499,242-3,Our study reviews 209 journal articles concerning OBIA published between 2003 and 2017.
1500,242-4,"We focus on the three stages of accuracy assessment: (1) sampling design, (2) response design and (3) accuracy analysis."
1501,242-5,"First, we report the literature's overall characteristics concerning OBIA accuracy assessment."
1502,242-6,"Simple random sampling was the most used method among probability sampling strategies, slightly more than stratified sampling."
1503,242-7,Office interpreted remotely sensed data was the dominant reference source.
1504,242-8,"The literature reported accuracies ranging from 42% to 96%, with an average of 85%."
1505,242-9,A third of the articles failed to give sufficient information concerning accuracy methodology such as sampling scheme and sample size.
1506,242-10,We found few studies that focused specifically on the accuracy of the segmentation.
1507,242-11,"Second, we identify a recent increase of OBIA articles in using per-polygon approaches compared to per-pixel approaches for accuracy assessment."
1508,242-12,"We clarify the impacts of the per-pixel versus the per polygon approaches respectively on sampling, response design and accuracy analysis."
1509,242-13,"Our review defines the technical and methodological needs in the current per-polygon approaches, such as polygon-based sampling, analysis of mixed polygons, matching of mapped with reference polygons and assessment of segmentation accuracy."
1510,242-14,Our review summarizes and discusses the current issues in object-based accuracy assessment to provide guidance for improved accuracy assessments for OBIA.
1511,243-1,"Extraction of leaf area index (LAI) is an important prerequisite in numerous studies related to plant ecology, physiology and breeding."
1512,243-2,LAI is indicative for the performance of a plant canopy and of its potential for growth and yield.
1513,243-3,"In this study, a novel method to estimate LAI based on RGB images taken by an unmanned aerial system (UAS) is introduced."
1514,243-4,Soybean was taken as the model crop of investigation.
1515,243-5,The method integrates viewing geometry information in an approach related to gap fraction theory.
1516,243-6,A 3-D simulation of virtual canopies helped developing and verifying the underlying model.
1517,243-7,"In addition, the method includes techniques to extract plot based data from individual oblique images using image projection, as well as image segmentation applying an active learning approach."
1518,243-8,Data from a soybean field experiment were used to validate the method.
1519,243-9,"The thereby measured LAI prediction accuracy was comparable with the one of a gap fraction-based handheld device (R-2 of 0.92, RMSE of 0.42 m M-2(-2)) and correlated well with destructive LAI measurements (R-2 of 0.89, RMSE of 0.41 m(2) m(-2))."
1520,243-10,"These results indicate that, if respecting the range (LAI <= 3) the method was tested for, extracting LAI from UAS derived RGB images using viewing geometry information represents a valid alternative to destructive and optical handheld device LAI measurements in soybean."
1521,243-11,"Thereby, we open the door for automated, high-throughput assessment of LAI in plant and crop science."
1522,244-1,"Spectral unmixing provides, for each pixel in the image, an estimated vector of fractional abundances that correspond to pure signatures, known as endmembers (EMs)."
1523,244-2,Standard unmixing techniques rely only on spectral information and each pixel is solved as an individual entity.
1524,244-3,Recent studies show that incorporating the image's spatial information enhances accuracy of the unmixing results.
1525,244-4,"Spatial information may allow better selection of relevant EMs, for each pixel, rather than utilizing all potential EMs in solving the spectral mixing problem."
1526,244-5,"To implement this approach, we developed a new method for spatially adaptive spectral unmixing called Gaussian-based spatially adaptive unmixing (GBSAU)."
1527,244-6,"GBSAU fits for each EM, a surface by a series of spatial anisotropic 2D Gaussians whose sum represents the EM's fraction distribution over the whole image."
1528,244-7,"These analytical surfaces facilitate a sparse solution for the unmixing process by spatial localization of EMs, which is then used to determine an adaptive subset of actual EMs for each pixel."
1529,244-8,"The performance of our novel method was compared with that of the state-of-art spatially adaptive unimximg method, sparse unmixing via variable splitting augmented Lagrangian and total variation (SUnSAL-TV) as well as with two ordinary non-spatial methods, sparse unmixing by variable splitting and augmented Lagrangian (SUnSAL) and vectorized code projected gradient descent unmixing (VPGDU)."
1530,244-9,The comparison was carried out on both simulated and real hyperspectral images.
1531,244-10,The results obtained with GBSAU indicated a significant improvement in the overall accuracy of the unmixing process compared with both spatially adaptive and ordinary methods.
1532,244-11,"Quantitatively, GBSAU reduces the average mean absolute error (MAE) of the results by similar to 15%, for cases with SNR = 30 db and 20 db, and by similar to 30% for cases with SNR = 10 db and 5 db."
1533,245-1,Detection of objects from satellite optical remote sensing images is very important for many commercial and governmental applications.
1534,245-2,"With the development of deep convolutional neural networks (deep CNNs), the field of object detection has seen tremendous advances."
1535,245-3,"Currently, objects in satellite remote sensing images can be detected using deep CNNs."
1536,245-4,"In general, optical remote sensing images contain many dense and small objects, and the use of the original Faster Regional CNN framework does not yield a suitably high precision."
1537,245-5,"Therefore, after careful analysis we adopt dense convoluted networks, a multi-scale representation and various combinations of improvement schemes to enhance the structure of the base VGG16-Net for improving the precision."
1538,245-6,We propose an approach to reduce the test-time (detection time) and memory requirements.
1539,245-7,"To validate the effectiveness of our approach, we perform experiments using satellite remote sensing image datasets of aircraft and automobiles."
1540,245-8,The results show that the improved network structure can detect objects in satellite optical remote sensing images more accurately and efficiently.
1541,246-1,"Geographical object-based image analysis (GEOBIA) is widely used for the processing of fine spatial resolution images, with increased research on contextual modelling and classification related to GEOBIA."
1542,246-2,"Specifically, a previously developed object-based image classification method, known as geostatistically weighted k-NN (gk-NN) method, has shown advantages in increasing classification accuracy."
1543,246-3,The gk-NN method incorporates spatial weighting into the k-NN classifier through modelling spatial covariance of underlying area classes.
1544,246-4,"However, change-of-support problem (COSP) due to different geometries of image objects is not considered therein."
1545,246-5,"In this paper, we propose a method based on geostatistical de-regularization and regularization for quantifying spatial dependence in area-class occurrences and accounting for scale discrepancy in image objects and pixels."
1546,246-6,"In this new modelling approach, an area-weighted (AW) distance measure is applied for modelling spatial covariance pertaining to sample image objects."
1547,246-7,"The covariance model fitted with image objects sample data is de-regularized to a point-support one, so the spatial covariance over unsampled image objects can then be computed through regularization of a point-support model (RP)."
1548,246-8,"Unlike the previous modelling approach in the object based gk-NN classification, whereby spatial dependence modelling is based on centroids of image objects, this method accounts for change of support and incorporates the geometry of image objects in modelling."
1549,246-9,"The new modelling method was tested on three remote-sensing image subsets with different environments, using regular and irregular segmentation methods at hierarchical scales."
1550,246-10,"It was confirmed that the RP method leads to largely significant increases in classification accuracies (with an average increase of 38.09% in classification accuracy with eighteen cases), compared with that by geostatistical modelling with image object centroids."
1551,246-11,The proposed method can be used for the modelling of spatial dependence in block-support data which are common in many geospatial applications.
1552,247-1,Land Use/Cover Change (LUCC) detection relies increasingly on comparing remote sensing images with different spatial and spectral scales.
1553,247-2,"Based on scale-invariant image analysis algorithms in computer vision, we propose a scale-invariant LUCC detection method to identify changes from scale heterogeneous images."
1554,247-3,"This method is composed of an entropy-based spatial decomposition, two scale invariant feature extraction methods, Maximally Stable Extremal Region (MSER) and Scale-Invariant Feature Transformation (SIFT) algorithms, a spatial regression voting method to integrate MSER and SIFT results, a Markov Random Field-based smoothing method, and a support vector machine classification method to assign LUCC labels."
1555,247-4,"We test the scale invariance of our new method with a LUCC case study in Montreal, Canada, 2005-2012."
1556,247-5,We found that the scale-invariant LUCC detection method provides similar accuracy compared with the resampling-based approach but this method avoids the LUCC distortion incurred by resampling.
1557,248-1,This paper presents a novel hierarchical approach to solving structure-from-motion (SFM) problems.
1558,248-2,The algorithm begins with small local reconstructions based on nonlinear bundle adjustment (BA).
1559,248-3,These are then joined in a hierarchical manner using a strategy that requires solving a linear least squares optimization problem followed by a nonlinear transform.
1560,248-4,The algorithm can handle ordered monocular and stereo image sequences.
1561,248-5,Two stereo images or three monocular images are adequate for building each initial reconstruction.
1562,248-6,"The bulk of the computation involves solving a linear least squares problem and, therefore, the proposed algorithm avoids three major issues associated with most of the nonlinear optimization algorithms currently used for SFM: the need for a reasonably accurate initial estimate, the need for iterations, and the possibility of being trapped in a local minimum."
1563,248-7,"Also, by summarizing all the original observations into the small local reconstructions with associated information matrices, the proposed Linear SFM manages to preserve all the information contained in the observations."
1564,248-8,The paper also demonstrates that the proposed problem formulation results in a sparse structure that leads to an efficient numerical implementation.
1565,248-9,The experimental results using publicly available datasets show that the proposed algorithm yields solutions that are very close to those obtained using a global BA starting with an accurate initial estimate.
1566,248-10,The C/C++ source code of the proposed algorithm is publicly available at https://github.com/LiangZhaoPKUlmperial/LinearSFM.
1567,249-1,Conventional classification algorithms have shown great success for balanced classes.
1568,249-2,"In remote sensing applications, it is often the case that classes are imbalanced."
1569,249-3,This paper proposes a novel solution to solve the problem of imbalanced training samples in hyperspectral image classification.
1570,249-4,It consists of two parts: one is for large-size sample sets and the other is for small-size sets.
1571,249-5,"Specifically, an algorithm based on the orthogonal complement subspace projection (OCSP) is proposed to select samples from large-size classes, and an algorithm also based on OCSP is proposed to create artificial samples for small-size ones."
1572,249-6,"The impact on representation-based classifiers, i.e., sparse and collaborative representation classifiers and traditional classifiers (e.g., support vector machine), is investigated."
1573,249-7,Experimental results demonstrate that the proposed solution can outperform other existing solutions in the literature.
1574,25-1,Hyperspectral remote sensing images present rich information on the characteristics of different physical materials.
1575,25-2,"Utilizing the rich information, classifiers can distinguish these different materials."
1576,25-3,"The minimum distance technique, which is commonly used in classification, is sensitive to the distance metric, especially in high-dimensional space."
1577,25-4,"In this letter, we study the effect of the p-norm distance metric on the minimum distance technique and propose a supervised-learning p-norm distance metric to optimize the value of p."
1578,25-5,"In the experimental study, we take the minimum distance and the k-nearest neighbor classifiers as examples to test the proposed supervised-learning p-norm distance metric."
1579,25-6,The results suggest that the supervised-learning p-norm distance metric can improve the performance of a classifier for hyperspectral remote sensing image classification.
1580,250-1,Unmixing is an important issue of hyperspectral images.
1581,250-2,Most unmixing methods adopt linear mixing models for simplicity.
1582,250-3,"However, multiple scattering usually occurs between vegetation and soil in a bilinear scene."
1583,250-4,"Thus, nonlinear mixing problems which are difficult to be solved should be taken into consideration under this circumstance."
1584,250-5,"In practice, both linear and nonlinear spectral mixtures exist in hyperspectral scenes."
1585,250-6,"Considering the characteristics of different regions in images, we propose a hybrid unmixing algorithm for hyperspectral images based on region adaptive segmentation."
1586,250-7,"Our method uses a standard K-means clustering algorithm to obtain different regions, including homogeneous regions and detailed regions."
1587,250-8,"The model of the homogeneous regions is assumed to be linear, which will be pursued using the method of sparse-constrained nonnegative matrix factorization (NMF), and the mixing in the detailed regions is assumed to be based on a nonlinear model."
1588,250-9,"We also propose a new nonlinear unmixing method, called graphregularized semi-NMF, which considers the manifold structure of hyperspectral data as the unmixing method to deal with the detailed regions."
1589,250-10,"Finally, by combining the two regions, we obtain the abundance of the whole hyperspectral image."
1590,250-11,The proposed method can not only achieve more precise abundance but also be good at keeping the edge information of the bilinear abundance.
1591,250-12,The experimental results on both synthetic and real data also show that the proposed method is effective for improving the unmixing accuracy of hyperspectral remote-sensing images.
1592,251-1,Heterogeneous terrain significantly complicates signals received by airborne or satellite sensors.
1593,251-2,It has been demonstrated that both solar direct beam and diffuse skylight illumination conditions are significant factors influencing the anisotropy of reflectance over mountainous areas.
1594,251-3,Several models and methods have been developed to account for topographic effects on surface reflectance at the pixel level in remote sensing.
1595,251-4,"However, subtopographic effects are generally neglected for lowspatial-resolution pixels due to the complex law of radiative transfer and the limitations of higher spatial resolution digital elevation models, which can lead to deviations in reflectance estimation."
1596,251-5,Accurately estimating the subtopographic effects on anisotropic reflectance over composite sloping terrain under different illumination conditions presents a challenge for remote sensing models and applications.
1597,251-6,"In this paper, the diffused equivalent slope model (dESM) was developed, which is an anisotropic reflectance simulation model coupled with diffuse skylight over composite sloping terrain."
1598,251-7,The corresponding subtopographic impact factor was also proposed to exhibit how microslope topography affects reflectance over composite sloping terrain under different illumination conditions.
1599,251-8,Simulated reflectance data sets simulated by the radiosity method and Moderate Resolution Imaging Spectroradiometer reflectance data were used to evaluate the performance of the dESM model.
1600,251-9,"The results reveal that the dESM model can accurately capture the reflectance anisotropy over composite sloping terrain under different illumination conditions, and the subtopographic impact factor can account for the effects of microslope topography, shadow, and illumination conditions."
1601,252-1,The knowledge of atmospheric column water vapor concentration is crucial for compensating water absorption effects in remote sensing data.
1602,252-2,Several algorithms for the estimation of such a parameter were proposed in the past.
1603,252-3,One of the most effective algorithms is the atmospheric precorrected differential absorption (APDA) technique.
1604,252-4,APDA relies on a simplified radiative transfer model (RTM) that does not account for the spatial variability of the adjacency effects.
1605,252-5,"In this paper, we study the impact of the simplified RTM assumption on the performance of the algorithm by exploiting a more realistic and well-established RTM."
1606,252-6,"Starting from such a model, we derive a new water retrieval algorithm called low-rank subspace projection-based water estimator."
1607,252-7,It exploits the high degree of spectral correlation experienced in the reflectances of most of the existing materials.
1608,252-8,An extensive experimental analysis is carried out on simulated data in order to assess and compare the performance of the two algorithms.
1609,252-9,Simulation results allow the critical analysis of the two algorithms by highlighting their strengths and drawbacks.
1610,253-1,High spatial resolution (HSR) remote sensing images provide detailed geometric information about land cover.
1611,253-2,"As a result, it is possible to detect more subtle changes with the help of HSR images."
1612,253-3,"However, due to the increased spatial resolution and the limited spectral information, it is difficult to identify the real changes only through the spectral feature of the image."
1613,253-4,"To fully explore the spectral-spatial information and improve the change detection performance for HSR images, this paper proposes the hybrid conditional random field (HCRF) model, which combines the traditional random field method with an object-based technique."
1614,253-5,"In the proposed method, the spectral discriminative information of a single pixel is extracted by the unary potential, which is modeled using a soft clustering method to make an initial separation of changed and unchanged pixels."
1615,253-6,The pairwise potential then considers the contextual information of adjacent pixels to favor spatial smoothing.
1616,253-7,An object term is also introduced in the HCRF model to keep the homogeneity of changed objects.
1617,253-8,"By the use of these approaches, the oversmoothing problem of the random field-based methods and the detection error caused by the segmentation strategy in the objectbased methods can be relieved."
1618,253-9,The proposed method was tested on three HSR image data sets and outperformed the compared state-of-the-art techniques.
1619,254-1,The Global Precipitation Measurement (GPM) mission was launched in February 2014; its dual-frequency precipitation radar (DPR) operates at both Ku- and Ka-bands.
1620,254-2,"Attenuation in precipitation is typically not negligible, especially at Ka-band."
1621,254-3,"Hence, attenuation correction is an important part of the GPM DPR retrieval algorithm."
1622,254-4,"The operational algorithm uses a path-integrated attenuation (PIA) obtained by comparing the measured surface return with that expected either from a nearby, nonprecipitating area or from the same area, acquired at a previous, nonprecipitating time."
1623,254-5,"This surface reference technique has worked well in most situations but can result in erroneously low estimates of the path attenuation in situations with nonuniform filling of the radar beam, especially at Ka-band due to its larger attenuation."
1624,254-6,This paper explores the existence of relationships between the Ka-band PIA and the characteristics of the measured reflectivity profiles.
1625,254-7,"The author finds that PIA is, indeed, related to reflectivity profiles, with strongest correlation between the PIA and the measured rainfall dual-frequency reflectivity ratio just above the surface."
1626,254-8,This relationship could be used as an estimator in the cases with severe nonuniform beam filling.
1627,255-1,Consistent and scalable estimation of vegetation structural parameters-essential to understanding forest ecosystems-is widely investigated through remote sensing imaging spectroscopy.
1628,255-2,"NASA's proposed spaceborne mission, the Hyperspectral Infrared Imager (HyspIRI), will measure spectral radiance from 380 to 2500 nm in 10-nm contiguous bands with a 60-m ground sample distance (GSD) and provide a global benchmark from which future changes can be assessed."
1629,255-3,"The historic foci of spectrometers have been foliar/canopy biochemistry and species classification; however, given the relatively large GSD of a spaceborne instrument, there is uncertainty as to the effects of subpixel vegetation structure on observed radiance."
1630,255-4,"This paper, therefore, evaluates the linkages between the withinpixel vegetation structure and imaging spectroscopy signals at the pixel level."
1631,255-5,We constructed a realistic virtual forest scene representing the National Ecological Observatory Network (NEON) Pacific Southwest domain site.
1632,255-6,Anticipated HyspIRI data (60-m GSD) for this site were then simulated using the physicsdriven Digital Imaging and Remote Sensing Image Generation (DIRSIG) model.
1633,255-7,Both the models were first validated via comparison to overflow classic Airborne Visible/Infrared Imaging Spectrometer and NEON's imaging spectrometer (NIS).
1634,255-8,"Then, to assess the impact of within-pixel: 1) tree canopy cover (CC); 2) tree positioning; and 3) distribution on large-footprint HyspIRI signals, we generated the variations of the baseline virtual forest scene and measured the anticipated spectral radiance using DIRSIG."
1635,255-9,Results indicate that HyspIRI is sensitive to subpixel vegetation structural variation in the visible to a short-wavelength infrared spectrum due to vegetation structural changes.
1636,255-10,This has implications for improving the system's suitability for consistent global vegetation structural assessments by adapting calibration strategies to account for this subpixel variation.
1637,256-1,Scene classification has been successfully applied to the semantic interpretation of large high-resolution images (HRIs).
1638,256-2,The bag-of-words (BOW) model has been proven to be effective but inadequate for HRIs because of the complex arrangement of the ground objects and the multiple types of land cover.
1639,256-3,How to define the scenes in HRIs is still a problem for scene classification.
1640,256-4,"The previous methods involve selecting the scenes manually or with a fixed spatial distribution, leading to scenes with a mixture of objects from different categories."
1641,256-5,"In this paper, to address these issues, a scene capture method using adjacent segmented images and a support vector machine classifier is proposed to generate scenes dominated by one category."
1642,256-6,"The codebook in BOW is obtained from clustering features extracted from all the categories, which may lose the discrimination in some vocabularies."
1643,256-7,"Thus, more discriminative visual vocabularies are selected by the introduced mutual information and the proposed intraclass variability balance in each category, to decrease the redundancy of the codebook."
1644,256-8,"In addition, a refined fuzzy classification strategy is presented to avoid misclassification in similar categories."
1645,256-9,"The experimental results obtained with three different types of HRI data sets confirm that the proposed method obtains classification results better than those obtained by most of the previous methods in all the large HRIs, demonstrating that the selection of representative vocabularies, the refined fuzzy classification, and the scene capture strategy are all effective in improving the performance of scene classification."
1646,257-1,Multitask learning (MTL) has recently yielded impressive results for classification of remotely sensed data due to its ability to incorporate shared information across multiple tasks.
1647,257-2,"However, it remains a challenging issue to achieve robust classification results in the case that the data are from nonlinear subspaces."
1648,257-3,"In this paper, we propose a kernel low-rank MTL (KL-MTL) method to handle multiple features from the 2-D variational mode decomposition (2-D-VMD) domain for multi-/hyperspectral classification."
1649,257-4,"On the one hand, a nonrecursive 2-D-VMD method is applied to extract various features [i.e., intrinsic mode functions (IMFs)] of the original data concurrently."
1650,257-5,"Compared with the existing 2-D empirical mode decomposition, 2-D-VMD has much stronger mathematical foundation and does not need any recursive sifting process."
1651,257-6,"On the other hand, KL-MTL is proposed for classification by taking the extracted IMFs as features of multiple tasks."
1652,257-7,"In KL-MTL, the low-rank representation formulated by nuclear norm can capture global structure of multiple tasks, while the kernel tricks are utilized for nonlinear extension of the lowrank MTL."
1653,257-8,"Moreover, the optimization problem in KL-MTL is solved by the inexact augmented Lagrangian method."
1654,257-9,"Compared with several state-of-the-art feature extraction and classification methods, the experimental results using both multi-/ hyperspectral images demonstrate that the proposed method has satisfactory classification performance."
1655,258-1,Water supplies in northeastern Brazil strongly depend on the numerous surface water reservoirs of various sizes there.
1656,258-2,"However, the seasonal and long-term water surface dynamics of these reservoirs, particularly the large number of small ones, remain inadequately known."
1657,258-3,Remote sensing techniques have shown great potentials in water bodies mapping.
1658,258-4,"Yet, the widespread presence of macrophytes in most of the reservoirs often impedes the delineation of the effective water surfaces."
1659,258-5,"Knowledge of the dynamics of the effective water surfaces in the reservoirs is essential for understanding, managing, and modelling the local and regional water resources."
1660,259-1,"Automatic updating of land use/cover change (LUCC) databases using high spatial resolution images (HSRI) is important for environmental monitoring and policy making, especially for coastal areas that connect the land and coast and that tend to change frequently."
1661,259-2,"Many object-based change detection methods are proposed, especially those combining historical LUCC with HSRI."
1662,259-3,"However, the scale parameter(s) segmenting the serial temporal images, which directly determines the average object size, is hard to choose without experts' intervention."
1663,259-4,And the samples transferred from historical LUCC also need experts' intervention to avoid insufficient or wrong samples.
1664,259-5,"With respect to the scale parameter(s) choosing, a Scale Self-Adapting Segmentation (SSAS) approach based on the exponential sampling of a scale parameter and location of the local maximum of a weighted local variance was proposed to determine the scale selection problem when segmenting images constrained by LUCC for detecting changes."
1665,259-6,"With respect to the samples transferring, Knowledge Transfer (KT), a classifier trained on historical images with LUCC and applied in the classification of updated images, was also proposed."
1666,259-7,"Comparison experiments were conducted in a coastal area of Zhujiang, China, using SPOT 5 images acquired in 2005 and 2010."
1667,259-8,The results reveal that (1) SSAS can segment images more effectively without intervention of experts. (2) KT can also reach the maximum accuracy of samples transfer without experts' intervention.
1668,259-9,"Strategy SSAS + KT would be a good choice if the temporal historical image and LUCC match, and the historical image and updated image are obtained from the same resource."
1669,26-1,"To evaluate the application potential of hyperspectral imaging, the automated spectral mapping and subpixel classification is used to classify the EO-1 satellite Hyperion data."
1670,26-2,"Once the endmembers are extracted from the conventional hyperspectral processing steps (namely, atmospheric correction, noise reduction, pixel purity, and n-dimensional visualization), these endmembers are resolved for constituent rock minerals."
1671,26-3,"Subsequently, the image is classified for mineralogy and lithology, and validated with the ground-truth data (prevailing geological map)."
1672,260-1,"Climate and land use/cover change are among the most pervasive issues facing the Southeastern United States, including the Savannah River basin in South Carolina and Georgia."
1673,260-2,Land use directly affects the natural environment across the Savannah River basin and it is important to analyze these impacts.
1674,260-3,The objectives of this study are to: 1) determine the classes and the distribution of land cover in the Savannah River basin; 2) identify the spatial and the temporal change of the land cover that occurs as a consequence of land use change in the area; and 3) discuss the potential effects of land use change in the Savannah River basin.
1675,260-4,"The land cover maps were produced using random forest supervised classification at four time periods for a total of thirteen common land cover classes with overall accuracy assessments of 79.18% (1999), 79.41% (2005), 76.04% (2009), and 76.11% (2015)."
1676,260-5,The major land use change observed was due to the deforestation and reforestation of forest areas during the entire study period.
1677,260-6,"The change detection results using the normalized difference vegetation index (NDVI) indicated that the proportion areas of the deforestation were 5.93% (1999-2005), 4.63% (2005-2009), and 3.76% (2009-2015), while the proportion areas of the reforestation were 1.57% (1999-2005), 0.44% (2005-2009), and 1.53% (2009-2015)."
1678,260-7,"These results not only indicate land use change, but also demonstrate the advantage of utilizing Google Earth Engine and the public archive database in its platform to track and monitor this change over time."
1679,261-1,Structure from Motion (SfM) represents a good low-cost alternative to generate high resolution topography where LiDAR (Light Detection and Ranging) data is scarce or unaffordable.
1680,261-2,"In this work, we demonstrate the advantages of high resolution elevation models (DEM) obtained using the SfM technique to delineate catchment boundaries and the stream network."
1681,261-3,"The SfM-based DEM was compared with LiDAR data, distributed by the Mexican Government, and a previous high resolution topographic map generated by a RTK-GPS system."
1682,261-4,Aerial images were collected on a forested ecohydrological monitoring site in northwest Mexico using a commercial grade digital camera attached to a tethered helium balloon.
1683,261-5,"Here we applied the SfM method with the removal of the vegetation, similarly to the more advance LiDAR methods."
1684,261-6,"This was achieved by adjusting the point cloud classification parameters (maximum angle, maximum distance and cell size), which to our knowledge, has not has not been reported in the available SfM literature."
1685,261-7,The SfM terrain model showed minimal differences in ground elevation in the center of the image domain (0-0.5 m) while errors increased on the edges of the domain.
1686,261-8,"The SfM model generated the largest catchment area, main and total channel length (1.07 ha, 106.1 and 223 m, respectively) while LiDAR model obtained the smallest area and main channel length (0.77 ha and 92.9 m, respectively)."
1687,261-9,"On the other hand, the SfM model had a better and accurate representation of the river network among all models evaluated due to its closest proximity to the observed GPS-tracked main channel."
1688,261-10,We concluded that the integration of low cost unmanned aerial vehicles and the SEM method is a good alternative to estimate hydro-morphological attributes in small catchments.
1689,261-11,"Furthermore, we found that high resolution SfM-based terrain models had a fairly good representation of small catchments which is useful in regions with limited data availability."
1690,261-12,The main findings of this research provide scientific value within the field of hydrological remote sensing in particular in the acquisition of high resolution topography in remote areas without access to more expensive LiDAR or survey techniques.
1691,261-13,"High resolution DEMs allow for a better characterization of catchment area size and stream network delineation which influence hydrological processes (i.e. soil moisture redistribution, runoff, ET)."
1692,262-1,Rice is one of the most important cereals in the world.
1693,262-2,"With the change of agricultural land, it is urgently neemcary to update information about rice planting areas."
1694,262-3,This study aims to map rice planting areas with a field-based approach through the integration of multi-temporal Sentinel-1A and Landsat-8 OLI data in Wuhua County of South China where has many basins and mountains.
1695,262-4,"This paper, using multi-temporal SAR and optical images, proposes a methodology for the identification of rice-planting areas."
1696,262-5,"This methodology mainly consists of SSM applied to time series SAR images for the calculation of a similarity measure, image segmentation process applied to the pan-sharpened optical image for the searching of homogenous objects, and the integration of SAR and optical data for the elimination of some speckles."
1697,262-6,"The study compares the per-pixel approach with the per field approach and the results show that the highest accuracy (91.38%) based on the field-based approach is 1.18% slightly higher than that based on the pixel-based approach for VH polarization, which is brought by eliminating speckle noise through comparing the rice maps of these two approaches."
1698,262-7,"Therefore, the integration of Sentinel-1A and Landsat-8 OLI images with a field-based approach has great potential for mapping rice or other crops' areas."
1699,263-1,"In dryland systems, the flood pulse is the driving force in system dynamics but is highly variable in flow volume and landscape inundation features."
1700,263-2,"Remote sensing can provide critical information fundamental to evaluating and forecasting flow behavior and population vulnerability; however, training and classifying an extensive time series of images is labor intensive, limiting the usefulness of these approaches in evaluating flood pulse dynamics and landscape interactions."
1701,263-3,"Here, we provide an alternative approach that relies on only one set of ""pooled"" training samples for time series image classification and analysis."
1702,263-4,We test this approach by mapping the flood pulse in a time series of moderate resolution imaging spectroradiometer (MODIS) images from the Chobe River Basin of Botswana for the years 2014 to 2016.
1703,263-5,"MODIS MOD09A1 images collected during the flooding season (February to July) were converted to Kauth-Thomas components, then sampled to form a training pool."
1704,263-6,Images were then classified using these pooled training samples.
1705,263-7,Results indicated that classification accuracies obtained using pooled training were statistically indistinguishable from classifications obtained from conventional training.
1706,263-8,"Application of the method to another year's data (2013) also yielded comparably accurate results, suggesting that the training pool method remains robust when applied to image data other than that used to create the training pool."
1707,264-1,Changes in the plant community composition due to biological invasion result in extensive changes to the ecosystem structure and functioning.
1708,264-2,Encroachment of Chir pine (Pinus roxburghii) in Banj oak (Quercus leucotrichophora) habitats in the western Himalaya is a well-established phenomenon and in due course eliminates the latter completely.
1709,264-3,Monitoring the impact of Chir pine incursion into Banj oak habitats is important for conservation and management of the oak ecosystems in western Himalaya.
